"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","13831","52"
"Hispanic/Latino","American Indian/Alaska Native","710","2"
"Hispanic/Latino","Asian","1634","6"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","796","5"
"Hispanic/Latino","Other","78909","523"
"Hispanic/Latino","Unknown","38950","10"
"Hispanic/Latino","White","113608","1024"
"Non-Hispanic/Latino","African-American/Black","674648","11280"
"Non-Hispanic/Latino","American Indian/Alaska Native","1350","32"
"Non-Hispanic/Latino","Asian","65941","603"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1799","18"
"Non-Hispanic/Latino","Other","44205","101"
"Non-Hispanic/Latino","Unknown","17951","5"
"Non-Hispanic/Latino","White","914872","21028"
"Unknown","African-American/Black","37570","5"
"Unknown","American Indian/Alaska Native","481","0"
"Unknown","Asian","8702","2"
"Unknown","Native Hawaiian/Pacific Islander","395","0"
"Unknown","Other","32410","7"
"Unknown","Unknown","232571","87"
"Unknown","White","50357","20"
